year-week,PCA_index,PCA_index1,original_return,return,ln_return,PCA_index_t-1,PCA_index1_t-1,PCA_index_t-2,PCA_index1_t-2
2017-7,-0.171966767,-1.259384285,-0.004726129,-0.199312002,-0.004737333,-0.831950272,-1.868168711,-0.222464513,-0.729846927
2017-8,0.065436642,-0.696131857,0.02679653,0.99827329,0.02644379,-0.171966767,-1.259384285,-0.831950272,-1.868168711
2017-9,-0.11753742,-0.775445145,-0.003602438,-0.156621564,-0.003608942,0.065436642,-0.696131857,-0.171966767,-1.259384285
2017-10,0.468304794,-0.319711239,-0.000762455,-0.048727057,-0.000762746,-0.11753742,-0.775445145,0.065436642,-0.696131857
2017-11,0.937528459,0.438001314,0.005479286,0.188404515,0.00546433,0.468304794,-0.319711239,-0.11753742,-0.775445145
2017-12,1.011234779,0.402793111,0.009774419,0.351581973,0.009726958,0.937528459,0.438001314,0.468304794,-0.319711239
2017-13,0.947394064,0.643567194,-0.022144252,-0.861048291,-0.022393116,1.011234779,0.402793111,0.937528459,0.438001314
2017-14,0.362761292,0.56017977,0.027661618,1.031139098,0.027285948,0.947394064,0.643567194,1.011234779,0.402793111
2017-15,0.698852639,-0.26317345,-0.007686894,-0.311795168,-0.00771659,0.362761292,0.56017977,0.947394064,0.643567194
2017-16,1.741893189,1.39359641,-0.034841364,-1.343427505,-0.035462802,0.698852639,-0.26317345,0.362761292,0.56017977
2017-17,0.887597554,1.004871056,-0.014101585,-0.555497329,-0.014201957,1.741893189,1.39359641,0.698852639,-0.26317345
2017-18,0.519438183,0.694152338,-0.019668827,-0.767003814,-0.019864833,0.887597554,1.004871056,1.741893189,1.39359641
2017-19,0.065022165,-0.251067763,-0.037095545,-1.429066667,-0.037801088,0.519438183,0.694152338,0.887597554,1.004871056
2017-20,0.477421759,0.261228507,0,-0.019760437,0,0.065022165,-0.251067763,0.519438183,0.694152338
2017-21,-0.138946157,-0.188377824,-0.02310468,-0.897536165,-0.023375777,0.477421759,0.261228507,0.065022165,-0.251067763
2017-22,-0.348898077,-0.194554233,-0.01103491,-0.438990508,-0.011096247,-0.138946157,-0.188377824,0.477421759,0.261228507
2017-23,-0.816968679,-1.219719368,0.034083901,1.275129654,0.033515915,-0.348898077,-0.194554233,-0.138946157,-0.188377824
