Constituent Code,Constituent Name(Eng.)
600755,Xiamen International Trade Group Corp Ltd
600757,"Changjiang Publishing & Media Co.,Ltd"
600759,Geo-Jade Petroleum Corporation
600765,Avic Heavy Machinery Co Ltd
600770,Jiangsu Zongyi Co Ltd
600773,Tibet Urban Development and Investment Co Ltd
600777,XINCHAO ENERGY Corporation Limited
600779,"Sichuan Swellfun Co., Ltd."
600782,"Xinyu Iron & Steel Co.,Ltd."
600787,"CMST Development Co.,Ltd."
600801,Huaxin Cement Co Ltd
600804,"DR. PENG TELECOM&MEDIA GROUP CO., LTD."
600808,Maanshan Iron and Steel Co Ltd
600811,Orient Group Incorporation
600820,Shanghai Tunnel Engineering Co Ltd
600823,Shanghai Shi Mao Co Ltd
600827,"Shanghai Bailian Group Co.,Ltd."
600835,Shanghai Mechanical & Electrical Industry Co Ltd
600839,Sichuan Changhong Electric Co Ltd
600848,Shanghai Lingang Holdings Corporation Limited
600859,"Wangfujing Group Co., Ltd."
600862,"Avic Aviation High-Technology Co., Ltd."
600863,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd
600869,"Far East Smarter Energy Co., Ltd."
600872,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd."
600874,Tianjin Capital Environmental Protection Group Co Ltd
600875,Dongfang Electric Corporation Limited
600879,"China Aerospace Times Electronics Co.,Ltd."
600881,Jilin Yatai (Group) Co Ltd
600884,Ningbo Shanshan Co Ltd
600885,"Hongfa Technology Co., Ltd."
600895,Shanghai Zhangjiang Hi-tech Park Development Co Ltd
600901,"Jiangsu Financial Leasing Co.,Ltd."
600908,"Wuxi Rural Commercial Bank Co., Ltd."
600917,Chongqing Gas Group Corporation Ltd.
600939,"Chongqing Construction Engineering Group Co., Ltd."
600959,Jiangsu Broadcasting Cable Information Network Corporation Limited
600967,"Inner Mongolia First Machinery Group Co.,Ltd."
600970,Sinoma International Engineering Co Ltd
600971,Anhui Hengyuan Coal Industry and Electricity Power Co Ltd
600978,"Yihua Lifestyle Technology Co., Ltd."
600993,"Mayinglong Pharmaceutical Group Co.,Ltd"
600996,"Guizhou Broadcasting & TV Information Network Co., Ltd."
601000,Tangshan Port Group Co Ltd
601001,"Datong Coal Industry Co., Ltd."
601003,Liuzhou Iron & Steel Co Ltd
601005,Chongqing Iron & Steel Co Ltd
601016,CECEP Wind-Power Corporation
601019,"Shandong Publishing&Media Co.,Ltd"
601020,"Tibet Huayu Mining Co., Ltd."
601098,China South Publishing & Media Group Co Ltd
601100,"Jiangsu Hengli Hydraulic CO., Ltd."
601106,China First Heavy Industries Co Ltd
601127,"Chongqing Sokon Industry Group Co.,Ltd"
601128,"Jiangsu Changshu Rural Commercial Bank Co., Ltd."
601168,Western Mining Co Ltd
601179,China XD Electric Co Ltd
601200,"Shanghai Environment Group Co., Ltd."
601231,"Universal Scientific Industrial (Shanghai) Co.,Ltd."
601311,Camel Group Co Ltd
601326,QINHUANGDAO PORT COMPANY LIMITED
601598,Sinotrans Limited
601608,"CITIC HEAVY INDUSTRIES CO., LTD."
601678,Befar Group Co Ltd
601689,"Ningbo Tuopu Group Co., Ltd."
601717,Zhengzhou Coal Mining Machinery Group Co Ltd
601718,Jihua Group Co Ltd
601777,Lifan Industry (Group) Co Ltd
601801,Anhui Xinhua Media Co Ltd
601811,"Xinhua Winshare Publishing and Media Co., Ltd."
601866,"COSCO SHIPPING Development Co.,Ltd."
601869,Yangtze Optical Fibre and Cable Joint Stock Limited Company
601872,"China Merchants Energy Shipping Co., Ltd."
601880,Dalian Port(PDA) Co Ltd
601928,Jiangsu Phoenix Publishing & Media Co Ltd
601958,Jinduicheng Molybdenum Co Ltd
601966,"Shandong Linglong Tyre Co., Ltd."
601969,"Hainan Mining Co., Ltd."
601990,"Nanjing Securities Co., Ltd."
603000,"People.cn CO.,LTD"
603025,Beijing Dahao Technology Corporation Limited
603056,"DEPPON LOGISTICS Co., LTD."
603077,"Sichuan Hebang Biotechnology Co.,Ltd."
603169,"Lanzhou LS Heavy Equipment Co., Ltd."
603198,"ANHUI YINGJIA DISTILLERY CO., LTD."
603225,"Xinfengming Group Co.,Ltd."
603228,"Shenzhen Kinwong Electronic Co.,Ltd."
603233,"DaShenLin Pharmaceutical Group Co., Ltd."
603328,"Guangdong Ellington Electronics Technology Co., Ltd"
603355,"Kingclean Electric Co., Ltd."
603369,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd."
603377,"Eastern Pioneer Driving School Co., Ltd."
603444,"G-bits Network Technology(Xiamen)Co., Ltd."
603486,"Ecovacs Robotics Co., Ltd."
603515,"Opple Lighting Co., LTD."
